tick,b0_x,b0_y,b1_x,b1_y,r0_x,r0_y,r1_x,r1_y,a0_macro,a0_tgt,a1_macro,a1_tgt,blue_score,red_score
132,14.338841438293457,10.780191421508789,9.782999992370605,9.567300796508789,13.74698543548584,9.6732759475708,12.972691535949707,11.091270446777344,0,45,0,45,0,0
133,15.426578521728516,10.72776985168457,10.86579418182373,9.683398246765137,13.866270065307617,10.313661575317383,12.838272094726562,10.376683235168457,0,45,0,45,0,0
134,15.50344181060791,9.641485214233398,12.125670433044434,9.331904411315918,14.594086647033691,10.728550910949707,11.711532592773438,10.42544937133789,0,45,0,45,0,0
135,14.433923721313477,9.436420440673828,13.1978178024292,9.522749900817871,15.201569557189941,10.313915252685547,11.84896469116211,9.834381103515625,0,45,0,45,0,0
136,13.346040725708008,9.485730171203613,14.269965171813965,9.713595390319824,15.196255683898926,9.708897590637207,12.467659950256348,9.469189643859863,0,45,0,45,0,0
137,11.75999927520752,9.57791519165039,14.20753288269043,10.800804138183594,14.846263885498047,9.379369735717773,13.421659469604492,9.434897422790527,0,45,0,45,0,0
138,10.672016143798828,9.624966621398926,13.120587348937988,10.86766529083252,14.056593894958496,8.869385719299316,13.994699478149414,10.498722076416016,0,45,0,45,0,0
139,9.584033012390137,9.672018051147461,12.034887313842773,10.782955169677734,13.55417251586914,9.77759075164795,13.85818862915039,10.971797943115234,0,45,0,45,0,0
140,8.496049880981445,9.719069480895996,10.949187278747559,10.69824504852295,12.765729904174805,10.299332618713379,13.045896530151367,11.46688175201416,0,45,0,45,0,0
141,7.408066749572754,9.766120910644531,9.863487243652344,10.613534927368164,11.632672309875488,10.0440034866333,12.261752128601074,11.571988105773926,0,45,0,45,0,0
142,6.3200836181640625,9.813172340393066,8.777787208557129,10.528824806213379,11.135002136230469,9.133186340332031,12.431686401367188,10.548080444335938,0,45,0,45,0,0
143,5.232100486755371,9.860222816467285,7.692086696624756,10.444114685058594,11.93747615814209,8.474931716918945,13.378046035766602,10.121856689453125,0,45,0,45,0,0
144,4.14411735534668,9.90727424621582,6.606386184692383,10.359404563903809,12.974995613098145,8.503522872924805,14.32894229888916,9.705851554870605,0,45,0,45,0,0
145,3.0561342239379883,9.954325675964355,5.52068567276001,10.274694442749023,14.012611389160156,8.528383255004883,15.288008689880371,9.30904483795166,0,45,0,45,0,0
146,2.973909378051758,11.040217399597168,4.434985160827637,10.189984321594238,15.050175666809082,8.55530071258545,16.260974884033203,8.947659492492676,0,45,0,45,0,0
147,4.042402267456055,11.250558853149414,3.3492846488952637,10.105274200439453,16.087366104125977,8.59400463104248,16.818073272705078,8.788278579711914,0,45,0,45,0,0
